relax_amp,Mass_n,Delta,Delta_MeV
0.0,1616.4445902963844,2.2410143116496783,1.3026120196378823
0.005,1616.7675894035094,2.5640134187747208,1.4903584865328943
0.01,1617.090898623096,2.887322638361411,1.6782852094030163
0.015,1617.414542391383,3.2109664066483674,1.8664063920567528
0.02,1617.7385082021858,3.5349322174511144,2.054714765149088
0.025,1618.062778819507,3.8592028347723044,2.243200310083889
0.03,1618.3873779885303,4.183802003795563,2.4318768289870234
0.035,1618.7123072979064,4.5087313131716655,2.6207452452776696
0.04,1619.0375482121283,4.833972227393588,2.8097947850066767
0.045,1619.3630928819919,5.159516897257163,2.9990208857454874
0.05,1619.688943362943,5.485367378208366,3.1884247422426677
