twist_amp,delta_MeV
0.086,1.283264626075086
0.08605172413793102,1.2846896748436312
0.08610344827586207,1.2861154463420237
0.0861551724137931,1.2875419345631811
0.08620689655172413,1.288969129645479
0.08625862068965516,1.290397067436872
0.0863103448275862,1.2918257309257055
0.08636206896551724,1.2932551273999886
0.08641379310344827,1.2946852606160644
0.0864655172413793,1.296116123533598
0.08651724137931034,1.2975477220991414
0.08656896551724137,1.298980079182484
0.0866206896551724,1.300413183405429
0.08667241379310345,1.3018470185664832
0.08672413793103448,1.3032815673555678
0.08677586206896551,1.304716860499047
0.08682758620689654,1.306152872243991
0.08687931034482758,1.3075896183478248
0.08693103448275862,1.3090270815736882
0.08698275862068965,1.3104652809349795
0.08703448275862069,1.3119042297102703
0.08708620689655172,1.3133439280329136
0.08713793103448275,1.3147843706725488
0.08718965517241378,1.3162255634521567
0.08724137931034483,1.3176674780079218
0.08729310344827586,1.3191101014893498
0.08734482758620689,1.320553470367544
0.08739655172413792,1.3219976148485417
0.08744827586206896,1.3234424963385663
0.0875,1.324888119847397
